name,ticker,nomicsid,coingeckoid,statuses,statusreasoning,primarysector,secondarysector,facts_data,opinions,rm_tr,format,coingeckolink,assetdescription,tokendescription,watchlist,messarilink
Digibyte,DGB,DGB,digibyte,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/digibyte,DigiByte is a modification of the Bitcoin protocol design that adjusts confirmation speeds and security assurances when transacting on the base layer.,"Digibyte is a modification of the Bitcoin code and has many similar features. There are currently 14.7 billion DGB in circulation out of a total 21 billion coin supply.
DigiByte mines with 5 different algorithms (compared to Bitcoin's 1 mining algorithm)_ which the core developers chose to improve protocol security. 
DigiByte transaction confirmations take a few seconds_ on average_ and new blocks are added to the blockchain every 15 seconds_ on average. 
The DigiByte blockchain has executed four hard forks: DigiShield (February 18_ 2014)_ MultiAlgo (September 1_ 2014)_ MultiShield (December 10_ 2014)_ and DigiSpeed (December 4_ 2015).",FALSE,https://messari.io/asset/digibyte
Digitex Futures,DGTX,DGTX,digitex-futures-exchange,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/digitex-futures-exchange,null,null,FALSE,https://messari.io/asset/digitex-futures
DigixDAO,DGD,DGD,digixdao,Delisted,Going through a dissolution.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/digixdao,null,null,FALSE,https://messari.io/asset/digixdao
Dignity,DIG,DIG2,dig-chain,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/dignity/,null,null,FALSE,https://messari.io/asset/dignity
district0x,DNT,DNT,district0x,Active,null,DeFi,Active DAO,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/district0x,"District0x is a platform that aims to allow developers to create decentralized marketplaces and communities_ know as ""Districts."" These Districts strive to solve the coordination issues and inefficiencies seen within most distributed markets.
From a structural standpoint_ Districts exist on top of an open-source framework of ETH smart contracts and front-end libraries collectively referred to as d0xINFRA. ",(DNT) can be used to access and even help govern (through a stake-weighted voting mechanism) specific communities.,FALSE,https://messari.io/asset/district0x
DMM: Governance,DMG,DMG,dmm-governance,Delisted,- Project was a Rug-Pull,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/dmm-governance,null,null,FALSE,https://messari.io/asset/dmm-governance
DODO,DODO,DODO,dodo,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,null,https://www.coingecko.com/en/coins/dodo,null,null,FALSE,https://messari.io/asset/dodo
Dogecoin,DOGE,DOGE,binance-peg-dogecoin,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/dogecoin,Dogecoin is a playful cryptocurrency popularized by adopting the Shiba Inu internet meme.,DOGE,FALSE,https://messari.io/asset/dogecoin
DOS Network,DOS,DOSNETWORK,dos-network,Delisted,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
  ",DeFi,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/dos-network,DOS Network is a chain-agnostic layer 2 decentralised oracle network that offers realtime data feeds and verifiable computation power to mainstream blockchains. It connects on-chain smart contracts and Dapps with off-chain data sources and unlimited computation power_ enabling smart contracts with more real world use cases.,The native token of the network is DOS. Node operators can stake to earn fees and rewards. DOS token grants governance rights that node operators and token holders have right to vote for future accepted payment tokens and other proposals. The network requires users to pay fees to node operators_ DOS token is one of the first accepted payment tokens_ with stablecoins to be supported in near future.,TRUE,https://messari.io/asset/dos-network
dYdX,DYDX,DYDX,dydx,Active,null,DeFi,CLOB,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/dydx,dYdX is a decentralized exchange built on the Ethereum network delivering key financial instruments to users such as perpetuals_ margin and spot trading_ as well as lending and borrowing. dYdX equips traders with off-chain order books with on-chain settlement and enables them to short-sell tokens_ increase exposure by longing with leverage_ or earn interest on deposited tokens to move quickly. dYdX leverages StarkWare's Layer 2 to eliminate the need to trust a centralized exchange while trading_ and thus combines the security and transparency of a decentralized exchange_ with the speed and usability of a centralized exchange.,dYdX (DYDX) protocol token is the governance token of the dYdX community that can be used to gain mining rewards and participate in staking pools_ and receive trading discounts on its exchange.,FALSE,https://messari.io/asset/dydx
Efforce,WOZX,WOZX,wozx,Delisted,- Security Token,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/efforce,null,null,FALSE,https://messari.io/asset/wozx
Electrify Asia,ELEC,ELEC,electrify-asia,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/electrify-asia,null,null,FALSE,https://messari.io/asset/electrify-asia
Electroneum,ETN,ETN,electroneum,Delisted,"- Although listed on supported exchanges - KuCoin & Huobi
- Liquidity on both KuCoin and Huobi is very poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/electroneum,null,null,FALSE,https://messari.io/asset/electroneum
Elrond,EGLD,EGLD,elrond-erd-2,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/elrond,"Elrond is a blockchain designed for high throughput and relatively fast execution speed compared to other smart contract platforms.
It uses a Proof-of-Stake (PoS) variation called Secure PoS to secure the network.",EGLD will allow network participants to conduct any network action_ such as submitting transactions_ running smart contracts_ providing services like staking_ or running a node.,FALSE,https://messari.io/asset/elrond
Elrond (OLD),ERD,ERD,null,Delisted,- OLD Token,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
Energi,NRG,NRG,energi,Delisted,"- Only listed on one supported centralised exchange - Kucoin
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on KuCoin and Uniswap is poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/energi,null,null,FALSE,https://messari.io/asset/energi
Energy Web Token,EWT,EWT,ecowatt,Active,null,Currency,BaaS (Other),Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/energy-web-token,Energy Web Chain is an open-source platform designed to support the development of energy sector applications by building a more traceable_ democratised_ and decarbonised energy system. EWC provides digital infrastructure through renewable energy sources e.g. solar panels,Energy Web Token is the native cryptocurrency of the Energy Web Chain_ the token is used to compensate key network operators and allows those who hold it to pay for decentralised application services built on the platform,TRUE,https://messari.io/asset/energy-web
Enigma,ENG,ENG,eng-crypto,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/enigma,null,null,FALSE,https://messari.io/asset/enigma
Enjin Coin,ENJ,ENJ,enjincoin,Active,null,Culture & Entertainment,Metaverse Platform,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/enjin-coin,"Enjin is a Singapore-based technology company that provides services for building gaming communities as well as services for blockchain game developers
Developers can use the Enjin platform to create projects (i.e. video games_ web-apps) on the Enjin platform. Once a new project is created_ developers can create and issue in-game assets as Ethereum tokens. All Enjin coin created assets can be “melted” or exchanged for Enjin coin at any point in time.","The Enjin Token (ENJ) is used by creators on the platform to create Custom Tokens 
Whenever these custom tokens are created with ENJ the circulating supply of ENJ decreases.
These Custom Tokens Can be traded back into ENJ at anytime.",FALSE,https://messari.io/asset/enjin-coin
Enzyme,MLN,MLN,melon,Active,null,DeFi,Asset Management,Yes,Yes,No,null,https://www.coingecko.com/en/coins/enzyme,null,null,FALSE,https://messari.io/asset/enzyme-finance
Eos,EOS,EOS,binance-peg-eos,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/eos,EOS is an open-source protocol designed by Dan Larimer and Block.one to support the creation of smart contracts and decentralized applications (dApps). Its network features a delegated Proof-of-Stake (DPoS) consensus mechanism to help secure the platform while giving it a level of performance desirable for running applications.,EOS has a unique resource model that requires users to stake EOS tokens in order to receive and use RAM_ CPU_ and Network Bandwidth.,FALSE,https://messari.io/asset/eos
ERC20,ERC20,ERC20,erc20,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
Ethereum,ETH,ETH,ethereum,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,Yes,ERC-20,https://www.coingecko.com/en/coins/ethereum,"Ethereum seeks to use crypto to decentralise products and services by having programs users can interact with and create. 
These programs are called smart contracts. Smart contracts are basically a contract written in code with pre-determined conditions. When those conditions are met_ the contract carries out a set piece of tasks - also defined in the contract.",Its native token is ether (ETH)_ which primarily serves as a means of payment for transaction fees and have many use cases within DeFi. For example_ acting as collateral for borrowing. ,FALSE,https://messari.io/asset/ethereum
Ethereum Classic,ETC,ETC,ethereum-classic,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://messari.io/asset/ethereum-classic,Ethereum Classic is a decentralized computing platform designed to execute smart contracts_ which are applications that run as programmed without the possibility of censorship or third-party interference.ETC is the legacy chain that split from Ethereum following a hard fork in July 2017.,ETC used to pay for executing transactions and smart contract functions is referred to as gas_ and the costs associated with these actions are known as gas costs. ETC is also a native token with a monetary policy that creates a predictable_ disinflationary emission schedule with a fixed supply cap. ,FALSE,https://messari.io/asset/ethereum-classic
Ethereum Name Service,ENS,ENS,ethereum-name-service,Active,null,Digitization,Digitization,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ethereum-name-service,The Ethereum Name Service is a distributed and open-source naming system that maps human-readable names to machine-readable identifiers like cryptocurrency addresses_ metadata and content hashes. Although it is built on Ethereum_ the lookup system can be deployed on private blockchains and other networks to customize complex strings of data to into readable content.,The ENS token will be used for governance of the ENS protocol and community treasury at launch. ENS domains are issued as NFTs_ which are meant to be human-readable addresses that map to public keys on networks like Ethereum_ Bitcoin_ and others.,FALSE,https://messari.io/asset/ethereum-name-service
Ethernity Chain,ERN,ERN2,ethernity-chain,Active,null,Culture & Entertainment,Art,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ethernity-chain,Ethernity is a blockchain-based platform that allows users to take advantage of the increasing popularity of non-fungible tokens. The developers position it as a decentralized finance crossover project with authenticated NFTs. In the Ethernity ecosystem_ all NFTs can be bought and sold on-chain.,ERN is the native token of the Ethernity ecosystem. Whilst the token is used to provide liquidity to ERN pools. Users will also be able to stake the ERN token to earn interest. Furthermore_ the ERN token will be used for governance. This will enable token holders to vote on proposals to make changes to the platform.,FALSE,https://messari.io/asset/ethernity-chain
Ethos,ETHOS,ETHOS,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/ethos-project/,null,null,FALSE,https://messari.io/asset/ethos
Exchange Union,XUC,XUC,exchange-union,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/exchange-union,null,null,FALSE,https://messari.io/asset/exchange-union-1
Factom,FCT,FCT,factom,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/factom,null,null,FALSE,https://messari.io/asset/factom
Fantom,FTM,FTM,fantom,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/fantom,"Fantom is a Layer-1 blockchain that uses a single consensus layer to support the creation of multiple execution chains. The network's independent consensus layer called Lachesis_ featuring a novel consensus mechanism developed by the Fantom Foundation dubbed the ""Lachesis Protocol.""The project's goal is to host an ecosystem of execution layers while enabling them to feature fast and cost-efficient transactions due to the benefits provided by the Lachesis Protocol.",The FTM token is required for staking_ on-chain governance and as payment for network fees. Naturally_ FTM can also be used to transfer FTM-denominated value.The max supply of this token is 3_175_000_000.,FALSE,https://messari.io/asset/fantom
Fetch.ai,FET,FET,fetch-ai,Active,null,Computing,Shared Network,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/fetch-ai,Fetch.ai is building a decentralized machine learning platform based on a distributed ledger_ that enables anyone to share or exchange data.,Fetch's token allows agents access to the digital world. It enables them to exist in this world_ in multiple locations_ and explore it looking for other agents to deliver value to or gain value from. This value can be in the form of access to services_ data_ infrastructure_ or data processing via AI and ML algorithms,FALSE,https://messari.io/asset/fetch-ai
Filecoin,FIL,FIL,binance-peg-filecoin,Active,null,Computing,Shared Storage,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/filecoin,"Filecoin is a decentralized data storage network built by Protocol Labs that allows users to sell their excess storage on an open platform. It acts as the incentive and security layer for IPFS (InterPlanetary File System)_ a peer-to-peer network for storing and sharing data files. Filecoin turns IPFS' storage system into an ""algorithmic market_"" where users pay storage providers in Filcoin's native token_ FIL_ to store and distribute data on the network.",The Filecoin network uses the FIL token to incentivize various node types to contribute to the network.The token is als used as collateral for miners to partcipate in the Filecoin ecosystem. The collateral required will be proportional to the storage space provided by miners.,FALSE,https://messari.io/asset/filecoin
Flamingo,FLM,FLM,flamingo-finance,Active,null,DeFi,Atomic Swaps,Yes,Yes,No,Nep-5,https://www.coingecko.com/en/coins/flamingo-finance,Flamingo is a decentralized finance ( DeFi) platform based on the Neo blockchain and the Poly Network interoperability protocol. It combines several DeFi applications into a single ecosystem: a cross-blockchain asset gateway (wrapper)_ an on-blockchain liquidity pool (swap)_ a blockchain asset vault_ a perpetual contract trading platform (perp) and a decentralized governance organization ( DAO).,The FLM token is the governance token of Flamingo. FLM holders can vote for changes in platform parameters_ issuance of new FLM tokens_ etc.,FALSE,https://messari.io/asset/flamingo-finance
Flow,FLOW,FLOW2,flow,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/flow,Flow is a blockchain created by Dapper Labs that aims to make it easy for developers to build decentralized applications and businesses. Flow uses a multi-role architecture design to scale the network instead of sharding.,The Flow blockchain's native token is FLOW_ which was designed as a means of exchange and also to serve as a long-term reserve asset for the Flow network economy. The Flow token enables developers_ validators and ordinary users to participate in the Flow blockchain and get rewards.,FALSE,https://messari.io/asset/flow
FOAM,FOAM,FOAM,foam-protocol,Delisted,"- Not listed on a supported centralised exchange
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is poor.",null,null,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/foam,FOAM is building a location sharing protocol and open map of the world to encode location information into the Ethereum blockchain. Using three core elements- the Crypto-Spatial Coordinate (CSC) standard_ Spatial Index Visualizer (SIV)_ and Proof of Location protocol_ FOAM aims to provide a more secure and verifiable version of GPS that puts users in control of their location data.,The FOAM token gives participants control over their location network and requires them to make decisions that impact its future.The max supply of this token is 1_000_000_000.,FALSE,https://messari.io/asset/foam
Frax Share,FXS,FXS,frax-share,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,null,https://www.coingecko.com/en/coins/frax-share,null,null,FALSE,https://messari.io/asset/frax-share
Frontier,FRONT,FRONT,frontier-token,Active,null,Currency,Transparent CeFi Currency,Yes,Yes,No,null,https://www.coingecko.com/en/coins/frontier,null,null,FALSE,https://messari.io/asset/frontier
FTX Token,FTT,FTT,ftx-token,Active,null,Currency,Transparent CeFi Currency,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ftx-token,FTT is the native token designed for the cryptocurrency derivatives exchange FTX. It has numerous uses designed to benefit its users and increase network effects around the platform.,FTT Token is the utility token of the FTX ecosystem. FTX is a crypto-derivatives exchange built by Alameda Research_ a cryptocurrency liquidity provider. Token holders can receive socialised gains from FTX/s insurance fund_ which is governed with a clear policy to prevent any sort of perpetual growth.,FALSE,https://messari.io/asset/ftx-token
FUN,FUN,FUN,funfair,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/fun-token,The FUNToken is an asset developed specifically for the online gambling and gaming industry. FUNToken combines the qualities of the Ethereum blockchain with a cutting-edge tech stack_ making FUN a powerful resource for players_ platforms_ and developers alike.,FUN is the native token of the FUNToken ecosystem. Acting as a governance and utility token allowing holders to participate in the platform.,FALSE,https://messari.io/asset/funfair
Fusion,FSN,FSN,fsn,Delisted,"- Token on Kucoin and Huobi
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/fusion,null,null,FALSE,https://messari.io/asset/fusion
Gala,GALA,GALA,gala,Active,null,Culture & Entertainment,Metaverse Platform,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/gala,Gala Games is a play-to-earn game development company building a robust gaming ecosystem that leverages the power of blockchain technology to empower its users. The project exists on both Ethereum and the Binance Smart Chain_ but plans to migrate to its own native blockchain in the future. Players are able to truly own their in-game items in the form of NFT's which can be traded on secondary markets.,GALA is a non-refundable utility token which will be used as the medium of exchange between participants in the Gala Games ecosystem.The max supply of the token is 50_000_000_000.,FALSE,https://messari.io/asset/gala
GAS,GAS,GAS,gas,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,Nep-5,https://www.coingecko.com/en/coins/gas,Gas is a token created on the NEO blockchain platform with primary purpose of being fees for processing transactions on the NEO network.,The GAS token is designed to act as fuel for the NEO blockchain and act as a form of security. GAS was not pre-mined and it is designed to be used to allocate resources and maintain the day to day running of the blockchain. It will also be used to reward users maintaining the blockchain.,FALSE,https://messari.io/asset/neo-gas
Gemini Dollar,GUSD,GUSD,gemini-dollar,Active,null,Currency,Stablecoin,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/gemini-dollar,The Gemini Dollar (GUSD) is the one of the world’s first regulated stablecoins. It is issued by Gemini Trust Company LLC_ a New York Trust Company. ,Gemini Dollars (GUSD) correspond on a 1:1 basis with US Dollars in order to provide a stable currency for transactions. GUSD is an ERC-20 and is built on and can be transferred on the Ethereum network.,FALSE,https://messari.io/asset/gemini-dollar
Gifto,GTO,GTO,gifto,Delisted,- Token only on binance and is mainnet if they delist we will have no where to trade the asset,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/gifto,null,null,FALSE,https://messari.io/asset/gifto
Gitcoin,GTC,GITCOIN,game,Active,null,Currency,Transparent (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/gitcoin,Gitcoin is a blockchain-based platform for projects_ independent builders_ and funders to connect and work together on open-source software. Project owners can post bounties together with the job details. While graphic designers and software developers can choose jobs that suit their skills and get paid in cryptocurrency. Gitcoin also helps sustain open source projects that offer meaningful values to the Web3 ecosystem through their quarterly grants which utilize Quadratic Funding_ a democratic mechanism to fund public goods.,GTC is a governance token for credibly neutral developer talent and public goods funding_ and the means to progressively decentralize the Gitcoin platform through the GitcoinDAO,FALSE,https://messari.io/asset/gitcoin
Gnosis,GNO,GNO,gnosis,Active,null,DeFi,DAO (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/gnosis,Gnosis builds new market mechanisms for open finance with product lines to create_ trade_ and hold crypto assets. The network provides prediction market tooling_ a decentralised exchange and wallet solutions.,The Gnosis cryptocurrency_ GNO_ is an Ethereum-based token sold during the Gnosis ICO. The primary use case of GNO is for generating OWL tokens via staking. Users can lock GNO for a certain amount of time (up to one year) to earn rewards.,FALSE,https://messari.io/asset/gnosis
Golem,GLM,GLM,golem,Active,null,Computing,Shared Network,Yes,Yes,No,null,https://www.coingecko.com/en/coins/golem,null,null,FALSE,https://messari.io/asset/golem
Golem (OLD),GNT [legacy token],GNT,null,Delisted,- OLD Token,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
Grin,GRIN,GRIN,grin,Delisted,- Privacy token.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/grin,null,null,FALSE,https://messari.io/asset/grin
Groestlcoin,GRS,GRS,giresunspor-token,Delisted,- Privacy token.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/groestlcoin,null,null,FALSE,https://messari.io/asset/groestlcoin
Handshake,HNS,HNS,handshake,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/handshake,null,null,FALSE,https://messari.io/asset/handshake
Harmony,ONE,HARMONY,harmony,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/harmony,Harmony is an open-source blockchain for building decentralized applications (dApps). It uses a technique called state sharding_ which separates a chain into segments that process transactions and store data in parallel_ to support fast transactions.,Harmony has a native token_ ONE_ that owners can use to stake on the network in exchange for block rewards and pay for transactions.,FALSE,https://messari.io/asset/harmony
Hedera,HBAR,HBAR,hedera-hashgraph,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/hedera,Hedera is a smart contract platform and governing body that allows developers to build decentralised applications (dapps). HBAR is faster than ETH_ currently allowing 10_000 TPS. ,Its native token is HBAR is primarily used as a means of payment for transaction fees. Hedera is also a network that is in the process of implementing proof of stake. In the near future HBAR holders will be able to stake to a network node_ to weight votes on transactions when reaching consensus. ,FALSE,https://messari.io/asset/hedera-hashgraph
Helium,HNT,HELIUM,helium,Active,null,Computing,IoT,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/helium,Helium is a decentralized_ open wireless network built on a new blockchain for the physical world. It relies on a novel type of work called Proof of Coverage_ and a new consensus algorithm (based on HoneyBadger BFT). The Helium Network is used to route data for long-range_ lower power IoT devices that use Helium's LongFi protocol.,HNT tokens are consumed for the generation of Data Credits_ which are used for data transmission and token transaction fees. The max supply of the token is 223_000_000.,FALSE,https://messari.io/asset/helium
Hempcoin,THC,THC,hempcoin-thc,Delisted,"- Only listed on one supported centralised exchange - Bittrex
- Liquidity on Bittrex is very poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hempcoin-thc,null,null,FALSE,https://messari.io/asset/hempcoin
Hifi Finance,MFT,MFT,mainframe,Active,null,DeFi,Lending / Borrowing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/hifi-finance,Hifi (formerly Mainframe) is a Lending Protocol that allows anyone to borrow against their crypto. Hifi uses a bond-like instrument_ representing an on-chain obligation that settles on a specific future date. Buying and selling the tokenized debt enables fixed-rate_ fixed term lending and borrowing — something much needed in decentralized finance today.,"Mainframe Token (MFT) is the native utility token that is used for:
• Governance votes
• Staking to ensure the safety of the protocol
• Rewarding contributors to the ecosystem",FALSE,https://messari.io/dao/hifi-finance
HitChain,HIT,HIT,hitbtc-token,Delisted,"- Token on Huobi
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hitchain,null,null,FALSE,https://messari.io/asset/hitchain
Hive,HIVE,HIVE2,hive,Active,null,Computing,Shared Storage,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/hive,Hive is a platform for creating decentralized applications (dApps)_ specializing in content distribution apps_ that originated from a contentious chain split with Steem. As a result of the fork_ the Hive network contains all of the content previously deployed to Steem,The HIVE blockchain has three native assets which are HIVE (HIVE)_ the HIVE Dollar (HBD)_ and HIVE Power. HIVE serves as the base asset of the platform which fuels its infrastructure and governance. The HIVE Dollar (HBD) is used to stimulate the HIVE platform and community through rewards paid out to content creators and consumers. HIVE power is used to gauge the level of influence that a HIVE participant has within the network. A user with a high HIVE power level can achieve more impact on the reach and rewards earned for a given post on the HIVE blockchain.,FALSE,https://messari.io/asset/hive
Holo,HOT,HOT,holotoken,Active,null,Computing,Shared Storage,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/holo,"Holochain is a distributed hash table (DHT) engineered for data integrity and to support Holo_ a distributed computing application.
Every user is essentially given their own ‘chain’ and must help secure the network. This helps create a distributed network which supports programming and application development_ however is not technically a blockchain and functions similarly to BitTorrent.",The fundamental purpose of the HoloFuel token is to reward hosts for lending their power. This allows Holochain’s mutual-credit accounting system to process billions of microtransactions every day.,FALSE,https://messari.io/asset/holochain
Horizen,ZEN,ZEN,zencash,Delisted,- Privacy token.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/horizen,null,null,FALSE,https://messari.io/asset/horizen
Horizon State,HST,HST,headstarter,Delisted,- Privacy token.,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
HTMLCOIN,HTML,HTML,htmlcoin,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/htmlcoin,null,null,FALSE,https://messari.io/asset/htmlcoin
Huobi,HT,HT,huobi-token,Active,null,Currency,Transparent CeFi Currency,Yes,Yes,No,null,https://www.coingecko.com/en/coins/huobi-token,null,null,FALSE,https://messari.io/asset/huobi-token
Hxro,HXRO,HXRO,hxro,Delisted,"- Only listed on one supported centralised exchange - FTX
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on FTX is very poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hxro,null,null,FALSE,https://messari.io/asset/hxro-games
Hydro,HYDRO,HYDRO,hydro,Delisted,"- Not listed on any supported centralised exchange.
- Not listed on any supported decentralised exchange.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hydro,null,null,FALSE,https://messari.io/asset/hydro-protocol
HyperCash,HC,HC,hashland-coin,Delisted,"- Token on Huobi
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hypercash,null,null,FALSE,null
Hyperion,HYN,HYN,hyperion,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/hyperion,null,null,FALSE,https://messari.io/asset/hyperion
Hyundai DAC,HDAC,HDAC,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
Icon,ICX,ICX,icon,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/icon,The ICON Project aims to build a decentralized network that allows independent blockchains with different governances to transact with one another without intermediaries.,The ICX token is the native cryptocurrency and multi-utility token of the ICON blockchain ecosystem. The ICX token is the single unit of exchange within the Icon crypto ecosystem. It is essential for paying transaction fees and interacting with decentralized applications (dApps) on the ICON blockchain. Plus_ ICX token holders can choose to partake in various staking features as part of ICON’s Delegated Proof-of-Stake (DPoS) consensus mechanism.,FALSE,https://messari.io/asset/icon
IDEX,IDEX,IDEX,aurora-dao,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/idex,Aurora’s mission is to build a collection of decentralized applications_ including IDEX—the first real-time non-custodial trading platform—that together form a distributed financial and banking platform. Founded by a group of blockchain enthusiasts who aspire to see digital currency flourish_ Aurora aims to provide decentralized financial solutions to anybody in the world.,IDEX is an Ethereum token that powers the IDEX decentralized exchange_ which combines an order book and automated market maker (AMM). IDEX holders can stake tokens in order to help secure the protocol and earn rewards.,FALSE,https://messari.io/asset/idex
iExec RLC,RLC,RLC,iexec-rlc,Active,null,Computing,Private Computing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/iexec-rlc,The iExec network provides computational resources to decentralized applications that wish to use them. The medium of exchange for the computational resources to be used must be paid using the RLC token.,All payments for computational resources utilize the RLC token as the medium of exchange.,FALSE,https://messari.io/asset/iexec-rlc
Illuvium,ILV,ILV,illuvium,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,null,https://www.coingecko.com/en/coins/illuvium,null,null,FALSE,https://messari.io/asset/illuvium
Immutable X,IMX,IMX3,immutable-x,Active,null,Culture & Entertainment,Art,Yes,Yes,No,null,https://www.coingecko.com/en/coins/immutable-x,null,null,FALSE,https://messari.io/asset/immutable-x
Injective Protocol,INJ,INJ,injective-protocol,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/injective,"Injective Protocol (INJ) is a decentralized exchange (DEX) protocol that offers advanced features like cross-chain margin trading_ Forex_ Futures trading and more.
Injective was designed to be a completely decentralized_ permissionless_ and high-performing exchange protocol with zero gas fees.",INJ is an ERC-20 utility token that has a variety of use cases on the Injective Protocol_ which includes providing market making incentives_ governance_ and block validator rewards.,FALSE,https://messari.io/asset/injective-protocol
